Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Sheraldo Becker;1.FC Union Berlin;26;attack;Suriname;2700000;Bundesliga;18;1106;3;3;2;0;31;10;9;463;12;7
Lorenzo Venuti;ACF Fiorentina;26;Defender;Italy;2700000;Serie A;28;1757;0;1;3;0;4;0;2;949;4;18
Mark Uth;1. FC Köln;30;attack;Germany;2700000;Bundesliga;20;1494;3;1;5;0;35;10;4;766;18;19
Mitchell Weiser;SV Werder Bremen;27;Defender;Germany;2700000;Bundesliga;5;226;1;0;0;0;2;2;1;243;2;2
Ishak Belfodil;Hertha BSC;29;attack;Algeria;2520000;Bundesliga;14;596;0;1;0;0;12;4;1;228;16;2
Benoit Costil;FC Girondins Bordeaux;34;Goalkeeper;France;2520000;Ligue 1;38;3420;0;0;0;0;0;0;0;1424;2;0
Cedric Brunner;Arminia Bielefeld;27;Defender;Switzerland;2520000;Bundesliga;31;2655;0;1;6;0;6;2;1;1741;32;29
Ruben Rochina;Granada CF;30;attack;Spain;2520000;La Liga;25;1404;0;1;5;0;36;8;3;1056;41;31
Jony;SS Lazio;30;attack;Spain;2520000;Serie A;22;871;0;2;0;0;11;4;3;521;17;6
Kike;CA Osasuna;31;attack;Spain;2520000;La Liga;37;3087;12;2;4;1;88;34;6;1407;39;22
Kevin Stoger;1.FSV Mainz 05;28;midfield;Austria;2520000;Bundesliga;19;538;3;0;3;0;9;4;0;456;5;10
Oscar Plano;Real Valladolid CF;30;attack;Spain;2520000;La Liga;36;2517;5;5;1;1;41;10;6;1205;12;37
Burak Yilmaz;LOSC Lille;36;attack;Turkey;2520000;Ligue 1;28;2051;16;5;6;0;61;27;7;791;15;2
Joaquin Fernandez;Real Valladolid CF;25;Defender;Spain;2520000;La Liga;25;2073;1;0;8;0;10;4;3;1019;2;18
Javi Sanchez;Real Valladolid CF;24;Defender;Spain;2520000;La Liga;16;921;0;0;3;0;3;0;0;468;2;12
Marcus Coco;FC Nantes;25;attack;France;2520000;Ligue 1;32;1474;0;2;5;0;13;1;4;838;29;30
Davie Selke;Hertha BSC;26;attack;Germany;2520000;Bundesliga;23;813;3;1;4;0;27;12;1;340;4;2
Joel Pohjanpalo;Bayer 04 Leverkusen;26;attack;Finland;2250000;Bundesliga;20;857;6;0;0;0;31;15;2;292;3;2
Roger Assale;SV Werder Bremen;27;attack;Cote d'Ivoire;2250000;Bundesliga;17;828;1;1;0;1;11;5;4;302;17;7
Matthew Lowton;Burnley FC;32;Defender;England;2250000;Premier League;34;3060;1;1;5;0;21;4;2;1856;24;36
