Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Denis Zakaria;Borussia Mönchengladbach;24;midfield;Switzerland;27000000;Bundesliga;25;1419;1;1;5;0;11;2;1;834;26;21
Dele Alli;Tottenham Hotspur;25;midfield;England;27000000;Premier League;15;620;0;1;0;0;12;4;3;437;10;15
Bryan;Tottenham Hotspur;20;attack;Spain;27000000;Premier League;28;2265;4;3;6;0;40;15;8;1367;72;17
Georginio Wijnaldum;Paris Saint-Germain;30;midfield;Netherlands;27000000;Ligue 1;38;2941;2;0;1;0;31;9;2;1983;34;24
Aurelien Tchouameni;AS Monaco;21;midfield;France;27000000;Ligue 1;36;3063;2;4;9;1;52;10;9;2299;33;97
Joaquin Correa;Inter Milan;27;attack;Argentina;27000000;Serie A;28;1933;8;3;3;1;54;22;16;1034;33;10
Raphael Dias Belloli;Leeds United;24;attack;Brazil;27000000;Premier League;36;2764;7;11;3;0;79;30;20;1650;74;21
Bruno Guimaraes;Olympique Lyon;23;midfield;Brazil;27000000;Ligue 1;33;1754;3;1;6;0;24;11;10;1682;21;53
Wout Weghorst;VfL Wolfsburg;29;attack;Netherlands;27000000;Bundesliga;34;2941;20;8;3;0;92;43;12;1154;21;12
Kevin Volland;AS Monaco;29;attack;Germany;27000000;Ligue 1;35;2769;16;7;4;0;59;30;14;1142;21;28
Luis Muriel;Atalanta BC;30;attack;Colombia;27000000;Serie A;36;1436;22;7;0;0;83;36;19;1030;55;12
Sergino Dest;FC Barcelona;20;Defender;United States;27000000;La Liga;30;1909;2;1;1;0;14;5;1;1523;33;19
Amine Gouiri;OGC Nice;21;attack;France;27000000;Ligue 1;34;2747;12;7;5;0;75;29;14;1555;53;22
Allan Saint-Maximin;Newcastle;24;attack;France;27000000;Premier League;25;1560;3;4;0;0;30;12;10;686;83;11
Philippe Coutinho;FC Barcelona;29;midfield;Brazil;27000000;La Liga;12;654;2;2;0;0;28;9;4;601;11;6
Manuel Akanji;Borussia Dortmund;26;Defender;Switzerland;27000000;Bundesliga;28;2350;2;0;4;0;19;4;1;2349;13;30
Renato Sanches;LOSC Lille;24;midfield;Portugal;27000000;Ligue 1;23;1270;1;3;4;0;21;3;9;1177;38;12
Jonathan Ikone;LOSC Lille;23;attack;France;27000000;Ligue 1;37;2177;4;5;0;0;43;11;12;1038;43;14
Matteo Politano;SSC Napoli;28;attack;Italy;27000000;Serie A;37;1908;9;4;3;0;62;20;13;1133;38;14
Merih Demiral;Atalanta BC;23;Defender;Turkey;25200000;Serie A;15;940;0;1;1;0;7;2;1;729;3;11
Aleksandr Golovin;AS Monaco;25;midfield;Russia;25200000;Ligue 1;21;1069;5;9;2;0;27;12;12;733;19;16
Sven Botman;LOSC Lille;21;Defender;Netherlands;25200000;Ligue 1;37;3309;0;0;2;0;16;5;1;2883;8;30
Alexandre Lacazette;Arsenal FC;30;attack;France;25200000;Premier League;31;1923;13;2;3;0;43;25;5;761;20;19
Oleksandr Zinchenko;Manchester City;24;Defender;Ukraine;25200000;Premier League;20;1478;0;0;0;0;16;4;2;1623;5;13
Antonio Rudiger;Chelsea FC;28;Defender;Germany;25200000;Premier League;19;1710;1;0;0;0;14;6;1;1651;3;18
James Rodriguez;Everton FC;30;midfield;Colombia;25200000;Premier League;23;1764;6;4;4;0;37;19;13;1308;29;14
Patrik Schick;Bayer 04 Leverkusen;25;attack;Czech Republic;25200000;Bundesliga;29;1866;9;1;4;0;57;23;6;659;25;8
Nico Elvedi;Borussia Mönchengladbach;24;Defender;Switzerland;25200000;Bundesliga;29;2536;3;1;1;0;12;6;4;2213;2;33
Benoit Badiashile;AS Monaco;20;Defender;France;25200000;Ligue 1;35;2870;2;1;5;0;23;4;3;2698;4;23
Obite N'Dicka;Eintracht Frankfurt;22;Defender;France;25200000;Bundesliga;23;2044;3;1;10;0;18;5;3;1633;8;21
Maxence Lacroix;VfL Wolfsburg;21;Defender;France;25200000;Bundesliga;30;2590;1;1;5;0;17;2;4;2145;11;34
Timothy Castagne;Leicester City;25;Defender;Belgium;25200000;Premier League;27;2345;2;3;1;0;8;3;3;1771;15;34
Boubakary Soumare;Leicester City;22;midfield;France;25200000;Premier League;32;1919;0;1;3;0;9;3;1;1747;24;30
Fikayo Tomori;AC Milan;23;Defender;England;25200000;Serie A;18;1511;1;0;0;0;5;4;1;1112;5;17
Kyle Walker;Manchester City;31;Defender;England;25200000;Premier League;24;1946;1;1;1;0;10;3;5;2060;31;27
Raul Jimenez;Wolverhampton Wanderers;30;attack;Mexico;25200000;Premier League;10;823;4;0;0;0;26;10;4;384;11;4
Ben White;Arsenal FC;23;Defender;England;25200000;Premier League;36;3191;0;0;5;1;10;0;3;2064;24;33
Nelson Semedo;Wolverhampton Wanderers;27;Defender;Portugal;25200000;Premier League;34;2983;1;1;5;0;23;11;5;2299;56;53
Andrej Kramaric;TSG 1899 Hoffenheim;30;attack;Croatia;25200000;Bundesliga;28;2379;20;5;2;0;92;40;14;1300;41;5
Rayan Cherki;Olympique Lyon;18;midfield;France;24300000;Ligue 1;27;698;1;3;1;1;16;5;7;455;39;5
Xaver Schlager;VfL Wolfsburg;23;midfield;Austria;24300000;Bundesliga;32;2626;2;4;7;0;48;4;6;1665;26;61
Giovani Lo Celso;Tottenham Hotspur;25;midfield;Argentina;24300000;Premier League;18;945;1;1;5;0;15;5;3;714;14;23
Sandro Tonali;AC Milan;21;midfield;Italy;24300000;Serie A;25;1330;0;0;1;1;9;3;1;901;6;14
Lukas Klostermann;RB Leipzig;25;Defender;Germany;24300000;Bundesliga;23;1446;1;0;2;0;12;2;1;1310;3;13
Thorgan Hazard;Borussia Dortmund;28;attack;Belgium;24300000;Bundesliga;16;654;1;3;0;0;9;4;3;427;8;5
Dani Ceballos;Real Madrid;25;midfield;Spain;24300000;La Liga;25;1615;0;3;4;0;12;2;5;1462;26;33
Jeremy Doku;Stade Rennais FC;19;attack;Belgium;23400000;Ligue 1;30;2313;2;3;1;1;36;7;9;1362;88;38
Konrad Laimer;RB Leipzig;24;midfield;Austria;23400000;Bundesliga;3;84;0;0;0;0;3;2;0;67;0;2
Leonardo Spinazzola;AS Roma;28;Defender;Italy;23400000;Serie A;27;2124;2;4;0;0;22;6;9;1527;59;5
Emre Can;Borussia Dortmund;27;midfield;Germany;23400000;Bundesliga;28;2133;1;4;5;0;17;4;6;2055;37;42
James Tarkowski;Burnley FC;28;Defender;England;22500000;Premier League;36;3240;1;0;6;0;22;6;0;1650;11;42
Ilaix;RB Leipzig;18;midfield;Guinea;22500000;Bundesliga;14;542;1;2;1;0;13;3;3;457;13;9
Nordi Mukiele;RB Leipzig;23;Defender;France;22500000;Bundesliga;28;1677;3;1;5;0;19;7;3;1389;16;20
Duje Caleta-Car;Olympique Marseille;24;Defender;Croatia;22500000;Ligue 1;33;2813;2;1;8;1;10;3;1;2180;3;17
Jan Bednarek;Southampton FC;25;Defender;Poland;22500000;Premier League;36;3100;1;1;5;1;10;5;2;2414;2;28
Lewis Dunk;"Brighton &amp; Hove Albion";29;Defender;England;22500000;Premier League;33;2931;5;0;5;2;30;13;0;2413;5;19
Roger Ibanez;AS Roma;22;Defender;Brazil;22500000;Serie A;30;2398;0;2;7;1;16;4;6;1991;20;50
Weston McKennie;Juventus FC;23;midfield;United States;22500000;Serie A;34;1702;5;2;5;0;29;14;4;1000;13;28
Wojciech Szczesny;Juventus FC;31;Goalkeeper;Poland;22500000;Serie A;30;2677;0;1;0;0;0;0;2;1076;2;0
Jonathan Bamba;LOSC Lille;25;attack;France;22500000;Ligue 1;38;2985;6;9;2;0;60;20;16;2128;54;32
Yves Bissouma;"Brighton &amp; Hove Albion";25;midfield;Mali;22500000;Premier League;36;3111;1;0;8;1;42;3;2;2098;50;74
Rafael Leao;AC Milan;22;attack;Portugal;22500000;Serie A;30;1924;6;6;5;0;43;20;7;713;34;9
Marash Kumbulla;AS Roma;21;Defender;Albania;22500000;Serie A;21;1363;1;0;8;0;6;2;0;915;2;10
Remo Freuler;Atalanta BC;29;midfield;Switzerland;22500000;Serie A;34;2712;2;3;5;0;21;6;11;2436;38;56
Daichi Kamada;Eintracht Frankfurt;25;midfield;Japan;22500000;Bundesliga;32;2356;5;12;3;0;38;9;21;1331;39;29
Alessio Romagnoli;AC Milan;26;Defender;Italy;22500000;Serie A;22;1907;1;1;7;0;15;3;4;1200;0;9
Karim Benzema;Real Madrid;33;attack;France;22500000;La Liga;34;2894;23;9;2;0;122;50;17;1571;39;7
Stefan Savic;Atlético de Madrid;30;Defender;Montenegro;22500000;La Liga;33;2953;1;0;14;0;7;2;3;2005;6;26
Renan Lodi;Atlético de Madrid;23;Defender;Brazil;22500000;La Liga;23;1129;1;2;3;0;12;4;4;921;24;16
Jason Denayer;Olympique Lyon;26;Defender;Belgium;22500000;Ligue 1;31;2614;1;0;1;0;5;1;0;1919;7;21
Thomas Lemar;Atlético de Madrid;25;midfield;France;22500000;La Liga;27;1366;1;3;4;0;23;10;8;985;41;19
Mike Maignan;AC Milan;26;Goalkeeper;France;22500000;Serie A;38;3420;0;0;1;0;0;0;1;1142;1;0
Goncalo Guedes;Valencia CF;24;attack;Portugal;22500000;La Liga;31;2287;5;5;3;1;51;15;16;1128;52;17
Maxi Gomez;Valencia CF;25;attack;Uruguay;22500000;La Liga;31;2689;7;1;7;1;54;24;11;824;12;9
Abdou Diallo;Paris Saint-Germain;25;Defender;Senegal;22500000;Ligue 1;22;1490;0;1;3;2;4;0;1;1335;20;15
Ridle Baku;VfL Wolfsburg;23;attack;Germany;22500000;Bundesliga;34;2858;6;7;1;0;34;12;16;1979;35;29
Andre-Frank Zambo Anguissa;SSC Napoli;25;midfield;Cameroon;22500000;Serie A;36;2587;0;3;6;0;34;8;6;1811;87;53
Davide Calabria;AC Milan;24;Defender;Italy;22500000;Serie A;32;2647;2;1;7;0;24;7;5;2118;17;50
Silas Katompa;VfB Stuttgart;22;midfield;DR Congo;22500000;Bundesliga;25;1919;11;4;6;0;40;15;10;829;56;30
Hector Bellerin;Real Betis Balompié;26;Defender;Spain;22500000;La Liga;25;2089;1;2;8;0;15;5;7;1498;16;18
Clement Lenglet;FC Barcelona;26;Defender;France;22500000;La Liga;33;2475;1;0;11;2;11;5;5;2506;11;25
Ronald Araujo;FC Barcelona;22;Defender;Uruguay;22500000;La Liga;24;1510;2;1;3;0;12;4;1;1211;4;22
Nabil Fekir;Real Betis Balompié;28;midfield;France;22500000;La Liga;33;2622;5;6;5;1;84;23;17;1771;60;36
Inaki Williams;Athletic Bilbao;27;attack;Spain;22500000;La Liga;38;2387;6;6;1;0;52;17;10;883;29;7
Thilo Kehrer;Paris Saint-Germain;24;Defender;Germany;22500000;Ligue 1;24;1616;0;0;3;0;7;0;2;1382;4;16
Nikola Milenkovic;ACF Fiorentina;23;Defender;Serbia;22500000;Serie A;34;3034;3;1;7;1;20;9;3;1987;9;40
Pierre-Emerick Aubameyang;Arsenal FC;32;attack;Gabon;22500000;Premier League;29;2332;10;3;2;0;56;19;7;903;12;5
Lucas Moura;Tottenham Hotspur;29;attack;Brazil;22500000;Premier League;30;1411;3;4;1;0;18;6;8;854;36;22
Michael Keane;Everton FC;28;Defender;England;22500000;Premier League;35;2991;3;1;4;0;16;6;3;2206;4;15
Jordan Pickford;Everton FC;27;Goalkeeper;England;22500000;Premier League;31;2742;0;0;1;0;0;0;2;1257;0;0
Gabriel;Arsenal FC;23;Defender;Brazil;22500000;Premier League;;;;;;;;;;;;
Fabio Silva;Wolverhampton Wanderers;19;attack;Portugal;22500000;Premier League;32;1369;4;3;2;0;46;16;4;491;15;6
Edouard Mendy;Chelsea FC;29;Goalkeeper;Senegal;22500000;Premier League;32;2835;0;0;2;0;0;0;0;1080;1;0
Conor Coady;Wolverhampton Wanderers;28;Defender;England;22500000;Premier League;37;3303;1;0;5;0;8;2;0;2073;7;23
Daniel Podence;Wolverhampton Wanderers;25;attack;Portugal;22500000;Premier League;24;1661;3;2;3;0;32;14;7;818;37;7
Abdoulaye Doucoure;Everton FC;28;midfield;France;22500000;Premier League;29;2443;2;3;6;0;18;5;5;1579;17;42
Ben Godfrey;Everton FC;23;Defender;England;22500000;Premier League;31;2685;0;2;4;0;14;2;2;1668;8;29
Emerson Royal;Tottenham Hotspur;22;Defender;Brazil;22500000;Premier League;34;2991;1;4;9;1;11;2;5;2387;23;60
Ezri Konsa;Aston Villa;23;Defender;England;22500000;Premier League;36;3196;2;0;3;0;22;7;0;1606;6;22
Sergio Reguilon;Tottenham Hotspur;24;Defender;Spain;22500000;Premier League;27;2244;0;3;5;0;21;4;8;1689;27;27
Victor Lindelof;Manchester United;27;Defender;Sweden;21600000;Premier League;29;2585;1;1;0;0;4;1;1;2036;2;16
Amadou Haidara;RB Leipzig;23;midfield;Mali;21600000;Bundesliga;31;1905;3;1;4;0;41;13;4;1385;23;31
Giovanni Di Lorenzo;SSC Napoli;28;Defender;Italy;21600000;Serie A;36;3240;3;6;11;0;31;12;17;2911;28;57
Kostas Manolas;SSC Napoli;30;Defender;Greece;20700000;Serie A;30;2298;0;0;5;0;8;3;2;1718;2;21
Marten de Roon;Atalanta BC;30;midfield;Netherlands;20700000;Serie A;35;3021;1;1;8;1;18;3;7;2452;14;67
Mario Pasalic;Atalanta BC;26;midfield;Croatia;20700000;Serie A;25;1122;6;2;2;0;19;12;7;796;15;16
Patrick Bamford;Leeds United;27;attack;England;19800000;Premier League;38;3050;17;7;3;0;105;45;17;868;17;18
Eric Dier;Tottenham Hotspur;27;Defender;England;19800000;Premier League;28;2520;0;0;3;0;14;2;0;1942;3;15
Jeff Reine-Adelaide;Olympique Lyon;23;midfield;France;19800000;Ligue 1;14;1058;1;2;1;0;15;6;3;751;43;5
Martinelli;Arsenal FC;20;attack;Brazil;19800000;Premier League;14;589;2;1;0;0;20;8;1;253;16;1
Granit Xhaka;Arsenal FC;28;midfield;Switzerland;19800000;Premier League;31;2522;1;2;7;1;21;6;3;2397;10;37
Bernd Leno;Arsenal FC;29;Goalkeeper;Germany;19800000;Premier League;35;3131;0;0;0;1;0;0;0;1228;0;0
Francisco Trincao;Wolverhampton Wanderers;21;attack;Portugal;19800000;Premier League;28;706;3;2;1;0;23;12;3;495;22;4
Steven Bergwijn;Tottenham Hotspur;23;attack;Netherlands;19800000;Premier League;21;1208;1;3;3;0;15;5;6;570;21;10
Jesse Lingard;Manchester United;28;midfield;England;19800000;Premier League;16;1421;9;4;3;0;40;20;11;850;21;10
Robin Le Normand;Real Sociedad;24;Defender;France;19800000;La Liga;33;2747;0;1;5;1;17;1;4;1955;2;21
Fred;Manchester United;28;midfield;Brazil;19800000;Premier League;30;2390;1;0;5;0;25;7;5;2092;24;55
Callum Wilson;Newcastle;29;attack;England;19800000;Premier League;26;2084;12;5;2;0;44;16;11;636;29;10
Alassane Plea;Borussia Mönchengladbach;28;attack;France;19800000;Bundesliga;29;1803;6;1;2;0;60;25;7;923;26;9
Arkadiusz Milik;Olympique Marseille;27;attack;Poland;19800000;Ligue 1;15;1220;9;1;2;0;43;19;4;457;7;9
Dean Henderson;Manchester United;24;Goalkeeper;England;19800000;Premier League;13;1125;0;0;3;0;0;0;0;350;0;0
Dwight McNeil;Burnley FC;21;attack;England;19800000;Premier League;36;3069;2;5;1;0;26;9;9;1696;66;22
Christoph Baumgartner;TSG 1899 Hoffenheim;22;midfield;Austria;19800000;Bundesliga;31;2369;6;3;6;0;62;21;11;1363;43;38
Leandro Paredes;Paris Saint-Germain;27;midfield;Argentina;19800000;Ligue 1;21;1302;1;2;7;1;25;7;4;1592;6;25
Danny Ings;Aston Villa;29;attack;England;19800000;Premier League;29;2173;12;4;1;0;55;24;10;818;37;13
Sasa Kalajdzic;VfB Stuttgart;24;attack;Austria;19800000;Bundesliga;33;2136;16;5;1;0;67;28;11;962;21;6
Kasper Dolberg;OGC Nice;23;attack;Denmark;19800000;Ligue 1;25;1928;6;2;2;0;36;17;4;572;14;6
Paco Alcacer;Villarreal CF;28;attack;Spain;19800000;La Liga;27;1544;6;4;0;0;36;18;9;397;7;4
Matty Cash;Aston Villa;24;Defender;England;19800000;Premier League;28;2372;0;2;8;1;9;2;2;1623;10;44
Ramy Bensebaini;Borussia Mönchengladbach;26;Defender;Algeria;19800000;Bundesliga;25;1811;4;0;7;0;21;7;4;1533;16;25
Nicolas Gonzalez;ACF Fiorentina;23;attack;Argentina;19800000;Serie A;15;934;6;2;5;0;46;11;7;413;16;5
Joachim Andersen;Crystal Palace;25;Defender;Denmark;19800000;Premier League;34;2922;1;1;8;1;18;3;2;2342;7;27
Allan;Everton FC;30;midfield;Brazil;19800000;Premier League;24;2051;0;0;6;0;7;2;2;1282;28;54
Alex Iwobi;Everton FC;25;attack;Nigeria;19800000;Premier League;30;1542;1;2;0;0;15;3;5;880;46;21
Jonathan Tah;Bayer 04 Leverkusen;25;Defender;Germany;19800000;Bundesliga;27;2219;1;0;3;0;10;2;0;2227;7;18
Said Benrahma;West Ham United;26;attack;Algeria;19800000;Premier League;30;1391;1;6;0;0;35;11;9;753;48;21
Orel Mangala;VfB Stuttgart;23;midfield;Belgium;19800000;Bundesliga;24;2109;1;3;4;0;26;8;5;1329;62;18
Nahitan Nandez;Cagliari;25;midfield;Uruguay;19800000;Serie A;32;2737;2;2;8;1;32;14;13;1577;38;39
Guido Rodriguez;Real Betis Balompié;27;midfield;Argentina;19800000;La Liga;35;2864;1;0;10;0;30;9;1;2037;28;69
Berat Djimsiti;Atalanta BC;28;Defender;Albania;19800000;Serie A;33;2625;0;3;8;0;21;1;7;2066;7;26
Manuel Lazzari;SS Lazio;27;midfield;Italy;18900000;Serie A;32;2613;2;5;2;1;24;6;8;1447;27;15
Yussuf Poulsen;RB Leipzig;27;attack;Denmark;18900000;Bundesliga;27;1354;5;4;1;0;45;14;7;657;26;2
Diego Llorente;Leeds United;28;Defender;Spain;18000000;Premier League;15;1204;1;0;1;0;8;3;1;839;5;27
Yusuf Yazici;LOSC Lille;24;midfield;Turkey;18000000;Ligue 1;32;1086;7;4;1;0;45;20;7;673;14;11
Jeremie Boga;US Sassuolo;24;attack;Cote d'Ivoire;18000000;Serie A;27;1785;4;2;0;0;33;15;7;1045;83;13
Alex Meret;SSC Napoli;24;Goalkeeper;Italy;18000000;Serie A;22;1980;0;0;0;0;0;0;0;649;0;0
Illan Meslier;Leeds United;21;Goalkeeper;France;18000000;Premier League;35;3150;0;0;0;0;0;0;1;1465;0;0
Danilo Pereira;Paris Saint-Germain;29;midfield;Portugal;18000000;Ligue 1;23;1430;2;1;3;0;17;5;3;1332;9;12
Zeki Celik;LOSC Lille;24;Defender;Turkey;18000000;Ligue 1;29;2381;3;2;8;0;16;6;6;1972;28;37
Luka Jovic;Real Madrid;23;attack;Serbia;18000000;La Liga;22;1043;4;1;2;0;32;8;3;455;20;4
Andre Gomes;Everton FC;28;midfield;Portugal;18000000;Premier League;28;1570;0;1;3;0;14;3;2;1083;26;34
Neal Maupay;"Brighton &amp; Hove Albion";25;attack;France;18000000;Premier League;33;2512;8;2;1;1;67;22;8;971;24;18
Emil Forsberg;RB Leipzig;29;attack;Sweden;18000000;Bundesliga;29;1539;7;4;0;0;32;14;9;775;27;8
Hamed Junior Traore;US Sassuolo;21;midfield;Cote d'Ivoire;18000000;Serie A;35;1789;5;2;6;0;44;14;5;1117;45;24
Harry Winks;Tottenham Hotspur;25;midfield;England;18000000;Premier League;15;861;0;0;5;0;4;1;0;740;4;14
Eric Garcia;FC Barcelona;20;Defender;Spain;18000000;La Liga;6;383;0;0;0;0;2;0;0;378;0;4
Suso;Sevilla FC;27;attack;Spain;18000000;La Liga;34;2210;3;4;2;0;48;17;12;1452;51;13
Gerson;Olympique Marseille;24;midfield;Brazil;18000000;Ligue 1;;;;;;;;;;;;
Julian Brandt;Borussia Dortmund;25;midfield;Germany;18000000;Bundesliga;31;1495;3;2;0;0;23;8;9;1120;31;17
Miralem Pjanic;FC Barcelona;31;midfield;Bosnia-Herzegovina;18000000;La Liga;19;627;0;0;1;0;16;3;0;832;9;5
Moussa Dembele;Olympique Lyon;25;attack;France;18000000;Ligue 1;16;677;1;0;3;0;27;8;1;253;11;3
Mason Holgate;Everton FC;24;Defender;England;18000000;Premier League;28;2287;1;0;9;0;5;3;0;1485;7;38
Corentin Tolisso;Bayern Munich;27;midfield;France;18000000;Bundesliga;16;781;1;0;1;1;12;7;2;634;6;12
Takehiro Tomiyasu;Arsenal FC;22;Defender;Japan;18000000;Premier League;31;2715;2;0;4;0;16;4;2;1989;18;29
Yerry Mina;Everton FC;26;Defender;Colombia;18000000;Premier League;24;1937;2;0;2;0;17;4;0;1461;0;12
Mikkel Damsgaard;UC Sampdoria;21;attack;Denmark;18000000;Serie A;35;1773;2;4;3;0;24;8;10;1048;51;28
Angel Di Maria;Paris Saint-Germain;33;attack;Argentina;18000000;Ligue 1;27;1853;5;9;1;0;60;18;19;1482;46;22
Musa Barrow;Bologna FC 1909;22;attack;The Gambia;18000000;Serie A;38;2921;8;8;0;0;90;38;11;1599;36;8
Kieran Trippier;Atlético de Madrid;30;Defender;England;18000000;La Liga;28;2475;0;6;0;0;3;1;10;2044;18;37
Alex Sandro;Juventus FC;30;Defender;Brazil;18000000;Serie A;26;1858;2;1;2;0;14;3;6;1638;16;27
Danilo;Juventus FC;30;Defender;Brazil;18000000;Serie A;34;2916;1;4;6;0;18;2;5;2747;20;37
Danilo;Juventus FC;30;Defender;Brazil;18000000;Serie A;34;2916;1;4;6;0;18;2;5;2747;20;37
Danilo;Parma Calcio 1913;37;Defender;Brazil;540000;Serie A;34;2916;1;4;6;0;18;2;5;2747;20;37
Danilo;Parma Calcio 1913;37;Defender;Brazil;540000;Serie A;34;2916;1;4;6;0;18;2;5;2747;20;37
Julian Draxler;Paris Saint-Germain;27;attack;Germany;18000000;Ligue 1;24;1064;4;3;3;0;12;5;7;727;21;7
Lucas Alario;Bayer 04 Leverkusen;28;attack;Argentina;18000000;Bundesliga;25;1245;11;2;2;0;37;18;3;469;20;6
Tyler Adams;RB Leipzig;22;midfield;United States;18000000;Bundesliga;27;1850;1;1;3;0;7;4;3;1615;18;31
Jordi Alba;FC Barcelona;32;Defender;Spain;18000000;La Liga;35;3025;3;5;9;0;27;11;9;3210;17;24
Alex Telles;Manchester United;28;Defender;Brazil;18000000;Premier League;9;690;0;2;0;0;5;1;3;652;3;6
Matteo Guendouzi;Olympique Marseille;22;midfield;France;18000000;Ligue 1;24;1818;2;1;5;0;17;9;3;1228;16;24
Bertrand Traore;Aston Villa;25;attack;Burkina Faso;18000000;Premier League;36;2317;7;6;1;0;65;23;9;1124;51;9
Renato Tapia;Celta de Vigo;26;midfield;Peru;18000000;La Liga;32;2701;0;1;11;0;18;5;3;1939;25;49
Marc Cucurella;"Brighton &amp; Hove Albion";23;midfield;Spain;18000000;Premier League;37;3244;3;2;8;0;27;8;5;1728;25;48
Kelechi Iheanacho;Leicester City;24;attack;Nigeria;18000000;Premier League;25;1459;12;2;1;0;58;25;3;728;29;9
Mauro Arambarri;Getafe CF;25;midfield;Uruguay;18000000;La Liga;34;2983;3;0;11;0;47;9;2;1469;31;56
Sergio Canales;Real Betis Balompié;30;midfield;Spain;18000000;La Liga;31;2498;8;6;4;0;45;11;13;1958;36;11
Portu;Real Sociedad;29;attack;Spain;18000000;La Liga;37;2184;8;3;3;0;32;12;8;774;16;14
Eberechi Eze;Crystal Palace;23;midfield;England;18000000;Premier League;34;2559;4;6;3;0;37;13;12;1482;69;22
Che Adams;Southampton FC;25;attack;Scotland;18000000;Premier League;36;2667;9;5;1;0;56;31;8;976;25;17
Tiemoue Bakayoko;AC Milan;27;midfield;France;18000000;Serie A;32;1964;2;1;6;1;16;4;2;1454;22;53
Alex Remiro;Real Sociedad;26;Goalkeeper;Spain;18000000;La Liga;38;3420;0;0;0;0;0;0;0;1268;1;0
Alessio Cragno;Cagliari;27;Goalkeeper;Italy;18000000;Serie A;34;3060;0;0;1;0;0;0;0;1054;0;0
Unai Simon;Athletic Bilbao;24;Goalkeeper;Spain;18000000;La Liga;37;3330;0;0;1;0;0;0;1;1120;1;0
Igor Zubeldia;Real Sociedad;24;midfield;Spain;18000000;La Liga;24;1959;1;1;5;0;9;3;2;1382;7;21
Benjamin Mendy;Manchester City;27;Defender;France;18000000;Premier League;13;953;2;1;2;0;6;2;3;736;14;10
Yeray Alvarez;Athletic Bilbao;26;Defender;Spain;18000000;La Liga;23;1948;1;0;6;0;11;1;0;1288;8;19
Martin Zubimendi;Real Sociedad;22;midfield;Spain;18000000;La Liga;31;1882;0;0;6;0;7;1;3;1296;10;21
Unai Nunez;Athletic Bilbao;24;Defender;Spain;18000000;La Liga;25;2109;1;1;6;0;13;5;1;1424;7;21
Alfonso Pedraza;Villarreal CF;25;Defender;Spain;18000000;La Liga;29;2093;1;2;8;0;22;8;9;1525;25;21
Inigo Martinez;Athletic Bilbao;30;Defender;Spain;18000000;La Liga;28;2519;1;0;9;1;17;7;0;1700;6;14
Matteo Pessina;Atalanta BC;24;midfield;Italy;18000000;Serie A;28;1645;2;2;2;0;22;10;9;1153;17;12
Jordan Henderson;Liverpool FC;31;midfield;England;18000000;Premier League;21;1704;1;1;0;0;14;4;4;1952;7;9
Samuel Chukwueze;Villarreal CF;22;attack;Nigeria;18000000;La Liga;28;1365;4;2;0;0;31;10;5;752;49;9
Ross Barkley;Chelsea FC;27;midfield;England;18000000;Premier League;26;1573;3;1;0;0;39;12;5;977;38;2
Lucas Torreira;ACF Fiorentina;25;midfield;Uruguay;18000000;Serie A;19;518;1;0;2;0;3;1;1;372;1;6
Juan Musso;Atalanta BC;27;Goalkeeper;Argentina;18000000;Serie A;35;3147;0;0;5;0;0;0;0;1083;1;0
Gaetano Castrovilli;ACF Fiorentina;24;midfield;Italy;18000000;Serie A;34;2332;5;3;8;1;33;14;10;1134;29;29
Maximilian Arnold;VfL Wolfsburg;27;midfield;Germany;17100000;Bundesliga;30;2585;3;6;7;1;54;16;12;1964;14;42
Joakim Maehle;Atalanta BC;24;Defender;Denmark;17100000;Serie A;20;1216;0;2;0;0;21;6;5;889;19;11
Manuel Neuer;Bayern Munich;35;Goalkeeper;Germany;16200000;Bundesliga;33;2970;0;0;1;0;0;0;0;1386;2;0
Rob Holding;Arsenal FC;25;Defender;England;16200000;Premier League;30;2558;0;1;2;0;14;2;3;2069;9;21
